id,customer_email,support_reply,category
0,My order #93810 for the mechanical keyboard was supposed to arrive 3 days ago but the tracking hasn't updated. Where is it?,"Hi, thanks for reaching out. I'm sorry your mechanical keyboard (order #93810) is delayed. I've checked with the carrier — it's currently in transit and expected within 3 business days. Here is your live tracking link. I'll personally monitor it and update you if anything changes. — Lena",Shipping
1,I returned my standing desk two weeks ago (order #39256) and still haven't seen a refund. Please help.,"Hi, thank you for your patience. I can confirm we received your returned standing desk for order #39256. I've just processed your full refund — it will appear on your original payment method within 7 business days. You'll get an email confirmation shortly. — Priya",Refund
2,My mechanical keyboard from order #81482 arrived damaged — the screen is cracked.,"Hi, I'm so sorry your mechanical keyboard arrived damaged. That's not the experience we want. I've shipped a replacement mechanical keyboard today via express (order #81482), arriving in 2 business days, and included a return label for the damaged unit. No further action needed on your end. — Nina",Replacement
3,I was charged twice for order #13905. Can you fix this?,"Hi, thanks for flagging this. You're right — I can see a duplicate charge on order #13905. I've reversed the extra charge immediately; it will drop off your statement within 6 business days. Apologies for the worry. — Sam",Billing
4,I want to upgrade my subscription plan but the page keeps erroring.,"Hi, sorry the upgrade page is misbehaving. I've applied the upgrade to your account manually — you now have the higher tier effective today, prorated for this cycle. You should see the new features within a few minutes. — Sam",Subscription
5,The desk lamp won't connect to my laptop over Bluetooth no matter what I try.,"Hi, let's get your desk lamp connected. Please (1) forget the device in Bluetooth settings, (2) hold the pairing button for 5 seconds until the light blinks, then (3) re-pair. This resolves it in most cases. If it still fails, reply and I'll arrange a replacement. — Sam",Technical Support
6,I can't log in and the password reset email never arrives.,"Hi, sorry for the login trouble. I've manually triggered a reset link to your registered email — please also check spam. It expires in 30 minutes. If it still doesn't arrive, confirm your account email and I'll verify it's correct on our side. — Jordan",Password Reset
7,My account shows the wrong shipping address and I can't edit it.,"Hi, thanks for letting me know. I've unlocked and corrected the shipping address on your account — please double-check it now looks right. The edit restriction was caused by a pending order; it's cleared now. — Jordan",Account Issues
8,"Please cancel my order #54118 for the mechanical keyboard, I ordered by mistake.","Hi, done — I've cancelled order #54118 for the mechanical keyboard before it shipped, so you won't be charged. Any pending authorisation will drop off within 2 business days. Thanks for catching it early. — Nina",Cancellation
9,"Do you ship internationally, and how long does it take to Chicago?","Hi, yes! We ship to most countries. To Chicago, standard international delivery is typically 2 business days plus any customs clearance. You'll get full tracking at dispatch. Let me know if you'd like the express option. — Lena",General Questions
10,I received the wrong item for order #70217. I ordered a desk lamp but got something else entirely.,"Hi, I'm really sorry about the mix-up on order #70217. I've created a prepaid return label for the incorrect item and shipped the correct desk lamp today at no cost to you. It should arrive in 2 business days. Apologies again for the inconvenience. — Nina",Shipping
11,The 4K monitor didn't meet my expectations. I'd like a refund for order #82357.,"Hi, I'm sorry the 4K monitor wasn't the right fit. You're well within our 30-day window, so I've approved your refund for order #82357. Once you drop off the item using the attached label, the refund of the full amount posts within 6 business days. — Marco",Refund
12,The mechanical keyboard I bought stopped working after a week. Can I get a replacement? Order #35203.,"Hi, sorry to hear the mechanical keyboard failed so quickly — it's covered under warranty. I've queued a replacement for order #35203 shipping today, ETA 4 business days. Please recycle the faulty unit; no need to return it. Let me know if the new one gives any trouble. — Sam",Replacement
13,"There's a charge on my card I don't recognise, possibly related to my office chair purchase.","Hi, I understand how concerning an unexpected charge is. I looked into it: the charge corresponds to your office chair order plus applicable tax. I've emailed you the itemised receipt. If it still looks wrong, reply here and I'll escalate to our billing team. — Nina",Billing
14,Why did my subscription price go up this month?,"Hi, great question. Your introductory promotional rate ended this cycle, so the plan returned to its standard price. I've applied a one-time loyalty credit to soften the change and emailed you the breakdown. Let me know if you'd like to review other plans. — Marco",Subscription
15,Your app keeps crashing on startup after the latest update.,"Hi, sorry about the crashes. Our team identified a bug in the latest build. Please update to version 4.2.1 (now live) or reinstall — that clears the corrupted cache causing it. I've credited your account for the disruption. — Priya",Technical Support
16,I forgot my password and the reset link says it expired.,"Hi, no problem — reset links expire after 30 minutes for security. I've sent a fresh link that's valid now. Click it, choose a new password, and you'll be back in. Let me know if you hit any snag. — Sam",Password Reset
17,I think my account was accessed by someone else.,"Hi, I take this seriously. I've secured your account: forced a sign-out of all sessions and locked new logins pending a reset. Please use the reset link I just sent to set a new password. I've also enabled login alerts. — Sam",Account Issues
18,I'd like to cancel my subscription effective immediately.,"Hi, I've cancelled your subscription effective today; you won't be billed again. You'll keep access until the end of the current paid period. We'd love feedback on why you're leaving if you have a moment. — Alex",Cancellation
19,What's your warranty policy on the 4K monitor?,"Hi, great question. The 4K monitor comes with a 2-year limited warranty covering manufacturing defects. If anything fails in that window, we repair or replace it free. Keep your order confirmation as proof of purchase. — Sam",General Questions
20,My order #51245 for the office chair was supposed to arrive 5 days ago but the tracking hasn't updated. Where is it?,"Hi, thanks for reaching out. I'm sorry your office chair (order #51245) is delayed. I've checked with the carrier — it's currently in transit and expected within 5 business days. Here is your live tracking link. I'll personally monitor it and update you if anything changes. — Tom",Shipping
21,I returned my webcam two weeks ago (order #94259) and still haven't seen a refund. Please help.,"Hi, thank you for your patience. I can confirm we received your returned webcam for order #94259. I've just processed your full refund — it will appear on your original payment method within 3 business days. You'll get an email confirmation shortly. — Lena",Refund
22,My desk lamp from order #42325 arrived damaged — the screen is cracked.,"Hi, I'm so sorry your desk lamp arrived damaged. That's not the experience we want. I've shipped a replacement desk lamp today via express (order #42325), arriving in 7 business days, and included a return label for the damaged unit. No further action needed on your end. — Lena",Replacement
23,I was charged twice for order #86622. Can you fix this?,"Hi, thanks for flagging this. You're right — I can see a duplicate charge on order #86622. I've reversed the extra charge immediately; it will drop off your statement within 4 business days. Apologies for the worry. — Nina",Billing
